"","Date","Game","Name","Team","Cat","Side","Odds","Risk","ToWin","Result","Net","Unt"
"1275","11/25/2022","MIN@CHA","Anthony Edwards","MIN","Ast","U",112,89,100,"L",-89,-0.89
"1276","11/25/2022","MIN@CHA","D'Angelo Russell","MIN","Pts","U",-110,110,100,"L",-110,-1.1
"1277","11/25/2022","MIN@CHA","Karl-Anthony Towns","MIN","Ast","U",-137,137,100,"W",100,1
"1278","11/25/2022","MIN@CHA","Karl-Anthony Towns","MIN","Pts","U",-107,107,100,"W",100,1
"1279","11/25/2022","PHI@ORL","Jalen Suggs","ORL","Ast","U",-135,135,100,"W",100,1
"1280","11/25/2022","PHI@ORL","Shake Milton","PHI","Ast","U",-125,125,100,"L",-125,-1.25
"1281","11/25/2022","POR@NYK","Immanuel Quickley","NYK","Pts","U",-108,108,100,"L",-108,-1.08
"1282","11/25/2022","POR@NYK","Immanuel Quickley","NYK","Ast","U",133,75,100,"L",-75,-0.75
"1283","11/25/2022","POR@NYK","Jalen Brunson","NYK","Reb","U",102,98,100,"L",-98,-0.98
"1284","11/25/2022","POR@NYK","Julius Randle","NYK","Pts","U",-120,120,100,"L",-120,-1.2
"1285","11/25/2022","POR@NYK","Julius Randle","NYK","Ast","U",-148,148,100,"W",100,1
"1286","11/25/2022","POR@NYK","RJ Barrett","NYK","Pts","U",-125,125,100,"W",100,1
"1287","11/25/2022","POR@NYK","RJ Barrett","NYK","Ast","U",-155,155,100,"L",-155,-1.55
"1288","11/25/2022","POR@NYK","Jerami Grant","POR","Ast","U",104,96,100,"W",100,1
"1289","11/25/2022","POR@NYK","Jusuf Nurkic","POR","Ast","U",-110,110,100,"L",-110,-1.1
"1290","11/25/2022","POR@NYK","Jusuf Nurkic","POR","Reb","U",-120,120,100,"W",100,1
"1291","11/25/2022","ATL@HOU","Jalen Green","HOU","Reb","U",-127,127,100,"L",-127,-1.27
"1292","11/25/2022","BKN@IND","Ben Simmons","BKN","Pts","U",-115,115,100,"L",-115,-1.15
"1293","11/25/2022","BKN@IND","Seth Curry","BKN","Ast","U",150,67,100,"L",-67,-0.67
"1294","11/25/2022","BKN@IND","Bennedict Mathurin","IND","Ast","U",150,67,100,"W",100,1
"1295","11/25/2022","BKN@IND","Buddy Hield","IND","Ast","U",-114,114,100,"L",-114,-1.14
"1296","11/25/2022","BKN@IND","Tyrese Haliburton","IND","Ast","O",104,96,100,"W",100,1
"1297","11/25/2022","CHI@OKC","Ayo Dosunmu","CHI","Ast","U",135,74,100,"L",-74,-0.74
"1298","11/25/2022","CHI@OKC","Zach LaVine","CHI","Ast","U",-122,122,100,"L",-122,-1.22
"1299","11/25/2022","CHI@OKC","Luguentz Dort","OKC","Ast","U",130,77,100,"W",100,1
"1300","11/25/2022","CHI@OKC","Shai Gilgeous-Alexander","OKC","Ast","U",-140,140,100,"L",-140,-1.4
